"ID","Name","State","Public","Avg.SAT","Avg.ACT","Applied","Accepted","Size","Out.Tuition","Spending"
1061,"Alaska Pacific University","AK",2,972,20,193,146,249,7560,10922
1063,"University of Alaska at Fairbanks","AK",1,961,22,1852,1427,3885,5226,11935
1065,"University of Alaska Southeast","AK",1,NA,NA,146,117,492,5226,9584
11462,"University of Alaska at Anchorage","AK",1,881,20,2065,1598,6209,5226,8046
1002,"Alabama Agri. & Mech. Univ.","AL",1,NA,17,2817,1920,3958,3400,7043
1003,"Faulkner University","AL",2,NA,20,345,320,1367,5600,3971
1004,"University of Montevallo","AL",1,NA,21,1351,892,2385,4440,5883
1005,"Alabama State University","AL",1,NA,NA,4639,3272,4051,3000,NA
1009,"Auburn University-Main Campus","AL",1,1076,24,7548,6791,16262,6300,6642
1012,"Birmingham-Southern College","AL",2,1100,26,805,588,1376,11660,8649
1016,"University of North Alabama","AL",1,NA,NA,1087,702,3772,2970,4944
1019,"Huntingdon College","AL",2,959,23,608,520,538,8080,7703
1020,"Jacksonville State University","AL",1,NA,20,1627,1413,5160,2610,4604
1023,"Judson College","AL",2,NA,22,313,228,552,5780,5159
1024,"Livingston University","AL",1,NA,19,1206,957,1627,1740,4272
1028,"Miles College","AL",2,NA,NA,686,427,746,4000,4455
1029,"University of Mobile","AL",2,NA,22,452,331,1417,6150,5412
1033,"Oakwood College","AL",2,760,17,949,605,1316,6639,7986
1036,"Samford University","AL",2,NA,NA,1680,1395,2959,8236,9533
1041,"Spring Hill College","AL",2,990,24,773,694,942,11478,8594
1044,"Stillman College","AL",2,NA,NA,629,614,866,4460,5031
1046,"Talladega College","AL",2,NA,NA,4414,1500,908,5666,5970
1047,"Troy State University at Troy","AL",1,980,20,1471,1281,4343,2883,4295
1050,"Tuskegee University","AL",2,NA,NA,2267,1827,2825,6735,10872
1051,"University of Alabama at Tuscaloosa","AL",1,NA,23,7593,5972,13780,5424,6426
1052,"University of Alabama at Birmingham","AL",1,NA,21,1797,1260,6960,4440,16352
1055,"University of Alabama at Huntsville","AL",1,1010,24,1376,957,2727,4960,8863
1057,"University of South Alabama","AL",1,NA,23,2328,2110,7516,3108,8667
8310,"Auburn University at Montgomery","AL",1,NA,21,985,868,3477,5715,4792
1085,"University of Arkansas at Monticello","AR",1,NA,NA,826,794,4539,3552,2033
1086,"University of Arkansas at Pine Bluff","AR",1,694,16,1450,1360,2993,3216,4618
1088,"Arkansas College (Lyon College)","AR",2,NA,25,708,334,530,8644,14579
1089,"Arkansas Tech University","AR",1,NA,21,1734,1729,3602,3460,4739
1090,"Arkansas State University","AR",1,NA,21,2688,2633,7212,3720,5128
1092,"University of Central Arkansas","AR",1,NA,22,3131,2703,7402,3274,4252
1094,"University of the Ozarks","AR",2,NA,NA,218,215,570,4800,8177
1098,"Henderson State University","AR",1,NA,NA,1490,1490,2942,2880,4540
1099,"Hendrix College","AR",2,1089,26,823,721,954,8800,8588
1100,"John Brown University","AR",2,993,23,605,405,961,6398,8118
1101,"University of Arkansas at Little Rock","AR",1,NA,19,1766,1322,5753,5352,4724
1102,"Ouachita Baptist University","AR",2,NA,NA,910,773,1310,6530,6413
1103,"Philander Smith College","AR",2,NA,NA,350,350,701,2370,NA
1106,"Williams Baptist College","AR",2,NA,19,220,210,509,3952,4061
1107,"Southern Arkansas University","AR",1,NA,NA,792,792,2229,2340,4653
1108,"University of Arkansas at Fayetteville","AR",1,NA,NA,3235,3108,9978,5028,6820
10311,"Harding University","AR",2,1020,24,1721,1068,3128,5504,6466
1074,"Grand Canyon University","AZ",2,926,22,497,393,1364,6870,6219
1081,"Arizona State University Main campus","AZ",1,974,23,12809,10308,22593,7434,4602
1082,"Northern Arizona University","AZ",1,939,22,5891,4931,11249,6746,6157
1083,"University of Arizona","AZ",1,983,23,14079,12238,21664,7434,9683
29022,"Prescott College","AZ",2,1000,23,321,227,693,9800,6562
1117,"Azusa Pacific University","CA",2,902,21,1080,948,2032,15500,9627
1122,"Biola University","CA",2,940,22,1118,896,2058,11388,9329
1125,"California Baptist College","CA",2,836,19,308,262,592,6370,8554
1131,"California Institute of Technology","CA",2,1410,NA,1916,507,912,16695,62469
1133,"California Lutheran University","CA",2,931,21,563,247,1427,12950,8985
1137,"California State Univ. at Fullerton","CA",1,871,21,6004,4480,12147,8990,6288
1138,"California State Univ. at Hayward","CA",1,NA,NA,2121,698,6790,8803,7237
1139,"California State Univ. at Long Beach","CA",1,838,21,10278,7746,NA,8233,5382
1140,"California State Univ. at Los Angeles","CA",1,NA,NA,5609,2756,9358,7454,8145
1141,"California State Univ. at Dominguez Hills","CA",1,NA,NA,1493,1194,4246,8820,8257
1142,"California State Univ. at San Bernardino","CA",1,839,NA,2329,1619,6609,NA,6654
1143,"California Polytechnic-San Luis","CA",1,1002,21,7811,3817,12911,7380,8453
1144,"California Poly-Pomona","CA",1,NA,NA,5945,3887,11177,5904,7867
1146,"California State University at Chico","CA",1,899,21,4816,3922,11822,5904,7798
1147,"California State University at Fresno","CA",1,NA,NA,4540,3294,13494,7706,7268
1149,"Humboldt State University","CA",1,956,22,3467,2190,5637,9979,8650
1150,"California State University at Sacramento","CA",1,884,NA,4348,3026,13724,9096,7530
1151,"San Diego State University","CA",1,851,20,9402,7020,16407,8384,7930
1153,"California State University at Northridge","CA",1,809,19,7672,5331,15567,5904,6691
1154,"San Francisco State University","CA",1,816,19,5385,3539,13165,8964,7651
1155,"San Jose State University","CA",1,838,19,5210,4094,14392,8820,5957
1156,"Sonoma State University","CA",1,968,22,2726,982,4239,7830,7304
1157,"California State University at Stanislaus","CA",1,849,19,1042,830,2895,8868,7333
1158,"United States International University","CA",2,895,19,322,168,237,11760,10317
1164,"Chapman University","CA",2,957,22,959,771,1662,16624,12692
1170,"Claremont McKenna College","CA",2,1270,28,1860,767,887,17000,18443
1171,"Harvey Mudd College","CA",2,1370,NA,1377,572,654,17230,21569
1172,"Pitzer College","CA",2,1150,26,1133,630,750,17688,14820
1173,"Pomona College","CA",2,1340,31,3037,1130,1500,17720,20682
1174,"Scripps College","CA",2,1150,26,855,632,569,17238,18372
1179,"College of Notre Dame","CA",2,NA,NA,344,264,500,12600,9773
1183,"Holy Names College","CA",2,898,NA,258,157,273,11480,10362
1196,"Dominican College of San Rafael","CA",2,884,NA,213,173,648,12790,8966
1215,"La Sierra University","CA",2,888,20,659,530,1067,12180,8294
1216,"University of La Verne","CA",2,903,22,1597,969,1431,13540,10139
1236,"Menlo College","CA",2,829,19,315,275,553,13975,11304
1238,"Mills College","CA",2,1050,25,529,414,781,14100,14299
1243,"Mount St. Mary's College","CA",2,972,21,657,537,1039,12474,10613
1249,"Occidental College","CA",2,1080,NA,2324,1319,1686,16560,16196
1252,"Pacific Christian College","CA",2,900,22,167,142,414,6500,5612
1253,"Fresno Pacific College","CA",2,1008,22,346,274,704,9900,8095
1258,"Pacific Union College","CA",2,NA,22,940,668,1316,11925,9157
1262,"Point Loma Nazarene College","CA",2,897,21,809,687,1889,10178,7895
1264,"Pepperdine University","CA",2,1099,25,3821,2037,2488,18200,16185
1293,"Southern California College","CA",2,909,21,385,340,784,9520,8219
1302,"St. Mary's College of California","CA",2,1032,NA,2643,1611,2615,13332,9619
1305,"Stanford University","CA",2,1401,31,13608,2926,6573,18669,33629
1312,"University of California at Berkeley","CA",1,1218,NA,19873,8252,19532,11648,13919
1313,"University of California at Davis","CA",1,1070,24,16343,11399,15429,7699,15873
1314,"University of California at Irvine","CA",1,1029,NA,15698,10775,12677,12024,15934
1315,"University of California at Los Angeles","CA",1,1141,NA,22165,10435,21637,7689,20260
1316,"University of California at Riverside","CA",1,982,23,9798,7566,6922,7699,12528
1317,"University of California at San Diego","CA",1,1131,26,19433,11469,13738,7699,17674
1320,"University of California at Santa Barbara","CA",1,1006,NA,16663,14141,15638,11218,9475
1321,"University of California at Santa Cruz","CA",1,1059,NA,10758,8559,8713,7699,10860
1322,"University of Redlands","CA",2,NA,NA,1498,1219,1369,16530,10685
1325,"University of San Francisco","CA",2,977,21,2306,1721,4309,13226,10074
1326,"Santa Clara University","CA",2,NA,NA,4019,2779,3891,13584,10872
1328,"University of Southern California","CA",2,1090,25,12229,8498,13259,17230,17007
1329,"University of the Pacific","CA",2,975,NA,2459,1997,2664,16320,13706
1341,"Westmont College","CA",1,1051,24,950,713,1276,14320,8837
1342,"Whittier College","CA",2,961,NA,1681,1069,1235,16249,11778
1343,"Woodbury University","CA",2,822,20,349,313,765,13020,6944
2741,"University of Judaism","CA",2,1040,NA,52,36,88,10560,31012
3948,"San Francisco Art Institute","CA",2,NA,NA,177,136,438,14500,9742
7993,"California State Univ. at Bakersfield","CA",1,842,21,941,643,2571,8725,NA
10395,"University of San Diego","CA",2,1038,NA,3934,2735,3698,13600,10813
10448,"Thomas Aquinas College","CA",2,1172,NA,125,87,208,13400,11513
11649,"Loyola Marymount University","CA",2,1034,NA,3768,2662,3558,13592,11677
29059,"Concordia University","CA",2,905,22,688,497,641,10800,8415
1345,"Adams State College","CO",1,NA,21,1508,1259,1922,1672,3897
1347,"Colorado College","CO",2,NA,NA,3207,1577,1892,17142,14664
1349,"University of Northern Colorado","CO",1,920,22,5530,4007,8463,7731,6309
1350,"Colorado State University","CO",1,1024,25,9478,6312,15646,8412,7850
1353,"Fort Lewis College","CO",1,NA,NA,3440,2823,3793,6198,4362
1358,"Mesa State College","CO",1,851,20,1584,1456,3471,5016,3871
1360,"Metropolitan State College","CO",1,855,20,3512,2975,9544,5790,4400
1363,"Regis University","CO",2,929,22,1107,904,1142,12700,NA
1365,"University of Southern Colorado","CO",1,908,20,1401,1239,3716,7100,5389
1369,"United States Air Force Academy","CO",1,NA,NA,9557,1605,4236,NA,35754
1370,"University of Colorado at Boulder","CO",1,NA,NA,14063,9320,18465,12563,8703
1371,"University of Denver","CO",2,1010,24,2974,2001,2666,15192,11762
1372,"Western State College of Colorado","CO",1,890,21,2702,1623,2315,5918,4599
4509,"University of Colorado at Colorado Springs","CO",1,NA,NA,826,620,2570,8090,6236
6740,"University of Colorado at Denver","CO",1,1007,23,1199,562,3805,9244,7996
9401,"Colorado Christian University","CO",2,867,21,735,583,1001,6720,4588
1374,"Albertus Magnus College","CT",2,890,23,353,340,416,13290,8861
1378,"Central Connecticut State University","CT",1,871,NA,4158,2532,6394,5962,4900
1379,"Connecticut College","CT",2,NA,NA,3035,1546,1630,18740,14773
1380,"Western Connecticut State University","CT",1,NA,NA,2486,1503,2818,5962,5920
1385,"Fairfield University","CT",2,1058,25,4784,3346,2984,15000,11220
1397,"University of New Haven","CT",2,929,NA,1651,1412,1411,10600,7033
1401,"Teikyo Post University","CT",2,NA,NA,345,297,570,11300,9310
1402,"Quinnipiac College","CT",2,NA,NA,3712,2153,2677,12030,8847
1403,"Sacred Heart University","CT",2,900,NA,2307,1896,1707,11070,7120
1406,"Southern Connecticut State University","CT",1,830,NA,3852,2652,5892,5962,5245
1409,"Saint Joseph College","CT",2,NA,NA,292,241,543,12200,8680
1414,"Trinity College","CT",2,NA,NA,3058,1798,1737,18810,18034
1415,"United States Coast Guard Academy","CT",1,1186,NA,5099,466,930,NA,36704
1416,"University of Bridgeport","CT",2,911,NA,598,441,527,12500,NA
1422,"University of Hartford","CT",2,963,NA,5081,4040,3768,14220,10625
1424,"Wesleyan University","CT",2,1280,29,4772,1973,2714,19130,16262
